ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,label,subject
57.0,23.0,16.0,-3.74,0.206561,33.66,4,S2
62.0,1.0,12.0,-17.48,0.202717,34.15,4,S2
-38.0,-7.0,-53.0,-66.0,0.306008,32.13,1,S14
-66.0,-1.0,2.0,16.23,0.277864,32.27,1,S14
57.0,23.0,17.0,-38.3,0.245001,33.61,4,S2
-37.0,31.0,-7.0,-1.02,0.339799,32.73,2,S3
62.0,0.0,12.0,-13.43,0.16684,34.55,4,S2
-54.0,-35.0,-4.0,20.85,0.294494,32.16,1,S14
52.0,29.0,22.0,6.98,0.507674,35.77,1,S2
-56.0,8.0,32.0,0.56,0.320079,31.73,4,S14
56.0,18.0,23.0,9.5,0.173247,35.87,1,S2
-46.0,-6.0,-46.0,-2.92,4.125267,32.37,2,S3
-35.0,-5.0,-54.0,27.98,0.114113,33.11,1,S4
-46.0,45.0,9.0,-1.88,0.338518,30.91,4,S3
-19.0,60.0,13.0,-8.99,2.177788,32.25,2,S4
-51.0,19.0,34.0,53.77,0.193422,32.77,3,S4
-31.0,-55.0,8.0,2.27,0.268909,32.21,1,S14
-32.0,55.0,11.0,2.53,3.496251,32.15,2,S3
-50.0,-33.0,-26.0,-4.76,0.289377,32.18,1,S14
62.0,6.0,-10.0,-15.76,0.129681,35.89,1,S2
-63.0,1.0,17.0,15.44,0.183188,31.41,4,S4
-56.0,7.0,32.0,10.96,0.316242,31.71,4,S14
-42.0,-2.0,48.0,1.01,0.389768,33.15,1,S3
-32.0,-43.0,-35.0,19.02,0.282981,32.18,1,S14
-45.0,45.0,10.0,0.85,0.339799,30.93,4,S3
-23.0,-9.0,-58.0,5.11,0.116671,33.03,1,S4
-40.0,-41.0,-26.0,25.3,0.285539,32.09,1,S14
46.0,26.0,34.0,-37.88,0.758884,35.71,1,S2
14.0,-58.0,14.0,7.19,0.9177,33.5,2,S2
-62.0,2.0,19.0,-27.92,0.197259,31.39,4,S4
-30.0,57.0,-4.0,22.18,1.956491,32.71,2,S4
-17.0,62.0,15.0,-4.52,2.328211,32.37,2,S4
7.0,-59.0,18.0,153.7,0.184468,31.47,4,S4
-42.0,-1.0,48.0,6.54,0.370549,33.15,1,S3
-20.0,-18.0,58.0,-63.06,2.13728,32.81,1,S3
54.0,23.0,22.0,17.98,0.159152,35.91,1,S2
-31.0,-8.0,-56.0,24.06,0.139696,32.91,1,S4
-33.0,55.0,9.0,1.06,3.068312,32.13,2,S3
-43.0,-2.0,48.0,-8.83,0.384643,33.11,1,S3
-29.0,-12.0,-57.0,-7.06,0.124346,33.11,1,S4
21.0,-58.0,15.0,54.65,0.590961,33.95,2,S2
-18.0,-7.0,-61.0,-24.5,0.120509,33.07,1,S4
14.0,-60.0,13.0,-45.15,0.726782,34.07,2,S2
-46.0,-38.0,17.0,-60.29,0.33671,33.21,2,S14
-23.0,-11.0,-59.0,19.92,0.125626,32.95,1,S4
-20.0,-4.0,-61.0,-11.74,0.120509,33.03,1,S4
-31.0,56.0,10.0,3.55,3.420657,32.15,2,S3
-37.0,-8.0,-53.0,25.79,0.306008,32.18,1,S14
-58.0,-12.0,-32.0,50.4,0.974089,33.29,1,S3
-24.0,-59.0,-8.0,27.5,0.270188,32.27,1,S14
-20.0,61.0,9.0,-64.56,2.459966,32.43,2,S4
-29.0,57.0,9.0,5.49,1.622702,31.91,2,S3
-32.0,56.0,10.0,-4.88,3.196438,32.13,2,S3
19.0,8.0,63.0,-99.07,0.385948,35.91,1,S2
-64.0,14.0,-6.0,11.27,0.460237,30.55,4,S3
-56.0,8.0,32.0,-6.07,0.314962,31.73,4,S14
15.0,-59.0,14.0,203.79,0.98568,33.29,2,S2
-46.0,45.0,10.0,1.67,0.339799,30.91,4,S3
-62.0,-20.0,1.0,4.38,1.001094,33.25,1,S3
-50.0,-39.0,-17.0,-55.82,0.289377,32.15,1,S14
-23.0,-48.0,-36.0,19.89,0.297053,32.13,1,S14
-26.0,58.0,12.0,-1.78,3.1785,32.45,2,S3
-20.0,-6.0,-61.0,17.66,0.117951,33.05,1,S4
-21.0,-10.0,-59.0,4.09,0.126905,32.95,1,S4
-27.0,54.0,-13.0,21.61,2.449732,32.5,2,S4
-33.0,-8.0,-55.0,5.87,0.137138,32.91,1,S4
47.0,24.0,-3.0,-11.43,0.095085,35.66,1,S2
-18.0,-7.0,-62.0,-27.22,0.11923,33.07,1,S4
-34.0,56.0,5.0,-6.64,4.084267,32.41,2,S3
0.0,-56.0,26.0,-6.2,0.439737,30.87,3,S3
58.0,16.0,20.0,17.55,0.219374,35.75,1,S2
12.0,-56.0,25.0,-12.71,0.599963,33.23,1,S3
-64.0,13.0,-6.0,-8.34,0.45255,30.65,4,S3
-64.0,-2.0,11.0,-10.04,0.332872,33.21,2,S14
-61.0,-4.0,21.0,9.44,1.357283,32.83,1,S3
62.0,0.0,12.0,-22.37,0.187341,34.25,4,S2
-60.0,-24.0,-8.0,0.21,1.092063,33.18,1,S3
-10.0,-54.0,31.0,-31.89,0.362862,30.69,3,S3
-42.0,-2.0,48.0,1.62,0.379518,33.15,1,S3
-54.0,-17.0,15.0,49.85,5.196489,32.59,1,S3
51.0,30.0,23.0,13.81,0.106617,35.89,1,S2
-36.0,-40.0,34.0,12.39,0.345664,32.71,2,S14
39.0,14.0,-47.0,-12.21,0.113024,35.95,1,S2
-57.0,-31.0,9.0,-9.76,1.584264,32.87,1,S3
-34.0,-44.0,-42.0,2.49,0.35334,32.81,2,S14
20.0,-58.0,13.0,1.5,0.64862,33.77,2,S2
18.0,-58.0,19.0,-21.58,0.738314,33.63,2,S2
-24.0,-59.0,-7.0,23.3,0.268909,32.23,1,S14
-4.0,2.0,64.0,0.8,1.192073,35.83,1,S2
17.0,-58.0,13.0,-82.6,0.730626,33.59,2,S2
-63.0,1.0,16.0,10.52,0.18063,31.43,4,S4
-48.0,-39.0,-29.0,-3.99,0.33671,32.68,2,S14
-44.0,-1.0,47.0,6.7,0.365424,30.99,3,S3
-54.0,-36.0,-6.0,17.15,2.037342,32.84,1,S3
-63.0,2.0,16.0,18.83,0.184468,31.43,4,S4
-65.0,0.0,-4.0,8.85,0.14993,32.75,4,S4
-37.0,-7.0,-52.0,27.71,0.314962,32.09,1,S14
-46.0,45.0,10.0,1.28,0.34108,30.93,4,S3
14.0,-59.0,14.0,3.89,1.077935,33.37,2,S2
49.0,13.0,-37.0,11.27,0.127119,35.71,1,S2
-35.0,55.0,10.0,2.18,3.548783,32.15,2,S3
12.0,-55.0,28.0,28.81,0.384643,30.89,3,S3
-34.0,-55.0,-3.0,33.62,0.289377,32.16,1,S14
-17.0,61.0,10.0,156.96,2.172672,32.23,2,S4
-55.0,-36.0,19.0,-34.64,0.343106,32.75,2,S14
-24.0,-59.0,-8.0,0.75,0.270188,32.27,1,S14
-37.0,-52.0,-11.0,25.05,0.308566,32.15,1,S14
-57.0,-4.0,30.0,-24.31,2.378156,32.68,1,S3
-64.0,14.0,-5.0,6.42,0.442299,30.65,4,S3
-17.0,61.0,10.0,-118.15,3.061483,32.45,2,S4
-20.0,59.0,11.0,0.37,0.320079,31.99,3,S14
-60.0,-25.0,-5.0,4.64,1.048501,33.25,1,S3
-46.0,44.0,11.0,-0.92,0.342362,30.93,4,S3
-26.0,61.0,11.0,-3.28,1.910984,31.95,2,S3
-32.0,-54.0,12.0,24.51,0.268909,32.11,1,S14
-14.0,53.0,13.0,-9.79,4.112454,32.37,2,S3
58.0,22.0,16.0,-11.17,0.323162,33.71,4,S2
-65.0,-2.0,-3.0,19.09,0.157605,32.84,4,S4
-22.0,-8.0,-59.0,-59.73,0.117951,33.03,1,S4
-54.0,4.0,36.0,9.98,0.312404,32.53,4,S14
-64.0,14.0,-5.0,-15.99,0.441018,30.65,4,S3
-29.0,57.0,10.0,-0.08,2.541277,32.05,2,S3
57.0,26.0,-8.0,17.39,0.096367,35.63,1,S2
-63.0,2.0,17.0,-4.99,0.197259,31.39,4,S4
-19.0,-6.0,-61.0,-35.54,0.11923,33.09,1,S4
-49.0,-36.0,-23.0,-5.52,0.289377,32.21,1,S14
-56.0,-30.0,13.0,7.19,0.367987,33.25,1,S3
56.0,23.0,17.0,8.95,0.18606,33.79,4,S2
72.0,12.0,15.0,12.98,0.366728,35.89,1,S2
-53.0,4.0,36.0,11.56,0.316242,32.53,4,S14
-33.0,-54.0,8.0,22.85,0.270188,32.25,1,S14
63.0,0.0,17.0,95.21,0.133525,35.53,1,S2
-53.0,-21.0,12.0,67.96,0.348223,32.81,2,S14
16.0,-58.0,18.0,114.94,0.684498,33.77,2,S2
-35.0,-10.0,-53.0,24.95,0.152488,32.89,1,S4
-64.0,13.0,-5.0,12.61,0.458956,30.55,4,S3
15.0,-59.0,16.0,-21.06,0.822881,33.57,2,S2
-35.0,-12.0,-52.0,-29.16,0.105159,33.09,1,S4
16.0,-60.0,16.0,5.48,1.024119,33.07,2,S2
16.0,-59.0,13.0,36.79,1.045902,33.11,2,S2
-45.0,46.0,9.0,-0.26,0.329549,30.85,4,S3
-55.0,-31.0,15.0,-1.23,0.364143,33.23,1,S3
-60.0,-15.0,12.0,-102.66,4.711224,32.65,1,S3
-56.0,8.0,32.0,18.55,0.316242,31.73,4,S14
-35.0,-6.0,-55.0,-42.8,0.114113,33.11,1,S4
41.0,14.0,-46.0,-22.23,0.114305,35.91,1,S2
-53.0,-35.0,16.0,11.27,1.869984,32.83,1,S3
-46.0,44.0,11.0,-0.99,0.344924,30.93,4,S3
-18.0,-8.0,-61.0,-32.46,0.120509,33.03,1,S4
-17.0,62.0,8.0,-26.03,0.321359,31.97,3,S14
-21.0,-12.0,-59.0,0.73,0.126905,32.95,1,S4
-55.0,8.0,33.0,12.64,0.320079,31.69,4,S14
-44.0,18.0,43.0,10.03,0.172955,32.75,3,S4
-34.0,-7.0,-52.0,-67.49,0.116671,33.07,1,S4
-56.0,-4.0,33.0,3.05,0.383362,30.93,3,S3
-21.0,60.0,-1.0,-49.88,2.874418,32.63,2,S4
55.0,25.0,17.0,6.76,0.529457,35.81,1,S2
-57.0,10.0,-38.0,-18.62,5.307007,32.27,2,S3
-32.0,-8.0,-56.0,18.99,0.139696,32.89,1,S4
-65.0,-2.0,-2.0,10.29,0.158884,32.84,4,S4
-65.0,0.0,-6.0,33.91,0.144813,32.73,4,S4
-44.0,-39.0,-26.0,-49.86,0.288098,32.15,1,S14
-61.0,-21.0,-10.0,-17.49,0.756276,33.47,1,S3
-33.0,-48.0,26.0,32.52,0.330313,33.18,2,S14
-32.0,-47.0,28.0,18.82,0.331593,33.16,2,S14
49.0,13.0,-38.0,-34.44,0.118149,35.65,1,S2
-34.0,-6.0,-54.0,-26.21,0.114113,33.09,1,S4
16.0,-59.0,16.0,4.12,1.021557,33.45,2,S2
-41.0,-46.0,1.0,8.16,0.341827,32.79,2,S14
-16.0,-8.0,-62.0,-56.5,0.11923,33.03,1,S4
53.0,27.0,20.0,-109.77,0.123275,35.89,1,S2
57.0,22.0,17.0,13.88,0.261658,33.66,4,S2
-65.0,-2.0,-7.0,-16.11,0.153767,32.75,4,S4
-19.0,-12.0,-60.0,45.18,0.126905,32.97,1,S4
-21.0,-11.0,-60.0,1.01,0.125626,33.0,1,S4
-65.0,-2.0,-2.0,-45.58,0.156326,32.87,4,S4
22.0,-52.0,27.0,16.61,0.573056,33.15,1,S3
-56.0,8.0,31.0,9.87,0.314962,31.69,4,S14
61.0,-1.0,-11.0,11.76,0.184779,34.34,3,S2
-28.0,58.0,11.0,-3.24,4.245418,32.41,2,S3
-61.0,-16.0,-12.0,-25.07,6.274359,32.65,1,S3
-46.0,-4.0,43.0,-1.69,0.396174,30.85,3,S3
-46.0,0.0,45.0,15.3,0.370549,30.97,3,S3
57.0,22.0,18.0,-6.35,0.312912,33.68,4,S2
-65.0,0.0,-4.0,-1.78,0.155047,32.77,4,S4
-35.0,-53.0,6.0,44.42,0.257396,32.23,1,S14
-53.0,4.0,36.0,-2.4,0.320079,32.49,4,S14
-19.0,60.0,12.0,-7.41,0.320079,31.93,3,S14
-65.0,-2.0,-3.0,12.18,0.14993,32.95,4,S4
-53.0,-6.0,36.0,17.12,2.716809,32.79,1,S3
-54.0,4.0,36.0,-15.62,0.316242,32.53,4,S14
55.0,26.0,20.0,-10.23,0.442326,35.79,1,S2
-64.0,13.0,-6.0,2.86,0.467925,30.53,4,S3
-61.0,-19.0,-15.0,19.62,0.886964,33.23,1,S3
-56.0,8.0,31.0,5.44,0.312404,31.63,4,S14
-53.0,4.0,36.0,5.55,0.3188,32.49,4,S14
-37.0,-37.0,-39.0,-25.9,0.289377,32.16,1,S14
-33.0,-6.0,-55.0,-7.74,0.112834,33.11,1,S4
-26.0,59.0,1.0,-7.6,2.330769,32.47,2,S4
-65.0,0.0,-6.0,2.32,0.152488,32.75,4,S4
-62.0,-4.0,20.0,3.54,1.34447,32.83,1,S3
-16.0,62.0,7.0,-7.17,0.321359,31.95,3,S14
-65.0,0.0,8.0,11.36,0.194701,31.43,4,S4
-19.0,60.0,7.0,145.87,2.149126,32.33,2,S4
-34.0,-41.0,-38.0,3.2,0.286819,32.18,1,S14
57.0,23.0,17.0,-14.02,0.236032,33.65,4,S2
-65.0,0.0,-4.0,3.38,0.153767,32.77,4,S4
-43.0,-1.0,48.0,-23.49,0.406424,33.13,1,S3
-18.0,60.0,12.0,2.19,0.317521,31.97,3,S14
-73.0,-8.0,-55.0,9.72,0.357737,32.65,2,S3
60.0,0.0,-20.0,4.31,0.130963,34.09,3,S2
-40.0,52.0,5.0,25.86,4.905975,32.27,2,S3
16.0,-58.0,13.0,-17.78,0.870291,33.55,2,S2
-23.0,-11.0,-60.0,18.51,0.128184,32.97,1,S4
-44.0,18.0,43.0,65.61,0.174234,32.75,3,S4
-28.0,57.0,9.0,9.62,2.032217,31.99,2,S3
-21.0,58.0,14.0,-38.16,2.08133,32.27,2,S4
51.0,30.0,21.0,152.27,0.703787,35.75,1,S2
-50.0,-31.0,37.0,-76.19,0.349502,32.87,2,S14
-56.0,-34.0,-2.0,9.19,3.109312,32.83,1,S3
54.0,23.0,22.0,-13.25,0.154027,35.89,1,S2
-61.0,-3.0,22.0,-6.35,1.339345,32.83,1,S3
-32.0,55.0,8.0,-0.54,3.090094,32.13,2,S3
-48.0,-39.0,-20.0,-38.72,0.281702,32.09,1,S14
-47.0,20.0,39.0,-17.25,0.181909,32.79,3,S4
-51.0,-37.0,-17.0,20.52,0.308566,32.21,1,S14
-61.0,-4.0,22.0,3.58,0.356455,30.95,3,S3
-33.0,-40.0,-38.0,-46.91,0.286819,32.16,1,S14
-26.0,-45.0,-30.0,4.94,0.207493,32.73,1,S4
-52.0,0.0,38.0,0.27,0.487143,33.18,1,S3
-65.0,-3.0,-3.0,19.01,0.155047,32.95,4,S4
-18.0,60.0,12.0,0.52,0.320079,31.97,3,S14
-33.0,-43.0,28.0,22.81,0.345664,32.91,2,S14
62.0,1.0,12.0,11.67,0.177091,34.31,4,S2
-61.0,-25.0,-8.0,5.13,1.111282,33.15,1,S3
-51.0,-38.0,-14.0,-2.37,0.309845,32.11,1,S14
-18.0,61.0,12.0,12.04,0.3188,31.95,3,S14
17.0,-59.0,14.0,-0.26,1.231695,32.61,2,S2
56.0,-6.0,-17.0,107.87,0.360321,35.89,1,S2
-13.0,62.0,12.0,-185.76,2.080051,32.34,2,S4
-66.0,0.0,-5.0,-10.23,0.157605,32.81,4,S4
62.0,0.0,12.0,5.16,0.188623,34.25,4,S2
17.0,-58.0,13.0,-0.99,0.952365,33.27,2,S2
16.0,-60.0,12.0,-0.39,1.175317,32.57,2,S2
14.0,12.0,55.0,-46.73,0.169403,35.91,1,S2
15.0,-59.0,14.0,20.5,1.038214,33.37,2,S2
-37.0,-7.0,-53.0,3.34,0.308566,32.15,1,S14
-54.0,-37.0,-6.0,27.36,2.020686,32.84,1,S3
-64.0,10.0,-8.0,4.97,0.467925,30.49,4,S3
-19.0,61.0,12.0,5.41,0.317521,31.99,3,S14
-27.0,61.0,7.0,3.3,2.5383,32.57,2,S4
-30.0,-11.0,-67.0,3.33,0.128184,32.93,1,S4
-32.0,-55.0,8.0,-1.34,0.26763,32.23,1,S14
-49.0,-1.0,42.0,-3.13,0.383362,30.83,3,S3
-23.0,-48.0,-36.0,14.52,0.297053,32.16,1,S14
-50.0,-4.0,40.0,2.04,0.387206,30.77,3,S3
15.0,-59.0,13.0,3.48,1.062559,33.03,2,S2
-26.0,60.0,4.0,14.15,2.655984,32.66,2,S4
-44.0,-28.0,-39.0,-19.72,0.291936,32.15,1,S14
-48.0,19.0,39.0,-76.11,0.176793,32.77,3,S4
-49.0,2.0,42.0,38.8,0.166559,32.89,3,S4
-65.0,-2.0,-8.0,-42.97,0.161442,32.83,4,S4
-37.0,-8.0,-52.0,-41.24,0.308566,32.15,1,S14
-17.0,-8.0,-62.0,-37.73,0.123067,33.05,1,S4
19.0,-58.0,15.0,-2.41,0.66784,33.75,2,S2
-41.0,-35.0,-36.0,-39.99,0.277864,32.07,1,S14
41.0,13.0,-47.0,6.6,0.114305,35.95,1,S2
-32.0,-47.0,29.0,-28.64,0.330313,33.13,2,S14
-54.0,-19.0,-36.0,-31.83,0.976651,33.29,1,S3
-48.0,-4.0,44.0,-14.35,0.392331,30.85,3,S3
-36.0,50.0,11.0,14.33,0.314962,31.87,3,S14
-24.0,-58.0,-7.0,-54.72,0.270188,32.27,1,S14
-50.0,53.0,5.0,-2.38,4.089392,32.34,2,S3
-20.0,-6.0,-61.0,19.83,0.123067,33.07,1,S4
62.0,0.0,11.0,13.45,0.278316,33.99,4,S2
62.0,1.0,11.0,13.18,0.223218,34.03,4,S2
62.0,0.0,11.0,9.45,0.265502,33.99,4,S2
-61.0,-3.0,22.0,8.5,1.32397,32.81,1,S3
-54.0,-4.0,34.0,0.65,0.370549,30.93,3,S3
62.0,0.0,12.0,-13.24,0.18606,34.25,4,S2
-65.0,-2.0,-2.0,-49.7,0.157605,32.87,4,S4
-61.0,-4.0,20.0,47.97,1.308595,32.81,1,S3
17.0,-60.0,14.0,-208.57,0.890792,33.57,2,S2
-64.0,13.0,-6.0,9.15,0.456393,30.57,4,S3
-32.0,-8.0,-56.0,24.39,0.121788,33.05,1,S4
61.0,0.0,-15.0,2.86,0.179653,34.15,3,S2
-65.0,-2.0,-3.0,32.31,0.156326,32.91,4,S4
6.0,-54.0,32.0,4.92,0.373112,30.83,3,S3
68.0,1.0,-4.0,-1.26,0.238594,34.23,3,S2
-65.0,0.0,5.0,16.75,0.187026,31.47,4,S4
-65.0,0.0,2.0,14.78,0.277864,32.27,1,S14
-49.0,0.0,41.0,36.01,0.170397,32.81,3,S4
-62.0,0.0,11.0,-3.32,0.187026,31.47,4,S4
-63.0,-5.0,14.0,27.83,2.025811,32.84,1,S3
-47.0,44.0,11.0,3.75,0.35133,30.95,4,S3
41.0,13.0,-46.0,5.62,0.113024,35.93,1,S2
-42.0,-47.0,-16.0,25.29,0.307287,32.07,1,S14
-61.0,-5.0,22.0,-32.69,2.557934,32.71,1,S3
60.0,0.0,-19.0,16.56,0.173247,34.15,3,S2
-54.0,-1.0,35.0,-5.34,0.389768,30.89,3,S3
-49.0,-38.0,-17.0,-37.78,0.343106,32.77,2,S14
43.0,14.0,-44.0,7.62,0.114305,35.79,1,S2
-44.0,18.0,43.0,-55.51,0.175513,32.73,3,S4
-64.0,12.0,-6.0,5.36,0.471768,30.47,4,S3
-64.0,14.0,-6.0,-11.7,0.453831,30.65,4,S3
-46.0,-45.0,-11.0,4.49,0.293215,32.16,1,S14
-58.0,-28.0,8.0,13.91,0.36997,32.87,2,S14
-41.0,-22.0,-16.0,20.15,0.33671,32.65,2,S14
-37.0,-7.0,-53.0,23.86,0.313683,32.11,1,S14
13.0,-57.0,17.0,18.26,0.652464,34.03,2,S2
-33.0,-52.0,-18.0,36.67,0.202376,32.79,1,S4
-53.0,-37.0,3.0,-16.3,0.343106,32.79,2,S14
-56.0,8.0,31.0,23.29,0.313683,31.71,4,S14
-50.0,7.0,40.0,-35.62,0.612775,33.33,1,S3
54.0,21.0,25.0,0.1,0.29241,35.83,1,S2
-44.0,19.0,43.0,-76.98,0.172955,32.77,3,S4
-44.0,-33.0,-17.0,20.94,0.275305,32.27,1,S14
-33.0,-7.0,-55.0,-20.47,0.11923,33.07,1,S4
-19.0,61.0,14.0,-171.71,2.169593,32.29,2,S4
15.0,-59.0,14.0,-17.77,1.066403,32.77,2,S2
62.0,0.0,12.0,-9.89,0.157871,34.63,4,S2
-44.0,0.0,47.0,1.53,0.367987,30.97,3,S3
54.0,24.0,24.0,-72.49,0.468022,35.79,1,S2
54.0,11.0,-30.0,-7.5,0.14762,35.91,1,S2
-56.0,8.0,31.0,-1.38,0.308566,31.59,4,S14
-65.0,-2.0,-2.0,-20.32,0.157605,32.84,4,S4
46.0,23.0,-10.0,14.23,0.091241,35.66,1,S2
-28.0,57.0,9.0,4.99,1.798234,31.95,2,S3
-48.0,18.0,39.0,41.81,0.174234,32.77,3,S4
-55.0,-34.0,-4.0,9.72,3.555109,32.73,1,S3
58.0,25.0,6.0,-11.7,0.118149,35.89,1,S2
16.0,-60.0,14.0,-33.25,0.738314,34.09,2,S2
-36.0,-51.0,7.0,-5.43,0.274026,32.27,1,S14
-35.0,-42.0,-36.0,10.68,0.285539,32.18,1,S14
-55.0,8.0,32.0,-35.02,0.3188,31.69,4,S14
-49.0,-42.0,-12.0,9.67,0.33671,32.68,2,S14
-56.0,-3.0,31.0,-488.04,1.46619,32.84,1,S3
-21.0,60.0,8.0,57.14,2.23611,32.47,2,S4
-65.0,-2.0,-2.0,14.65,0.151209,32.93,4,S4
62.0,1.0,-16.0,28.13,0.20528,34.25,3,S2
-66.0,3.0,-10.0,8.94,0.350781,32.83,2,S14
-65.0,-2.0,-5.0,-8.73,0.161442,32.83,4,S4
-33.0,76.0,23.0,5.9,2.928216,32.47,2,S3
-54.0,4.0,36.0,18.01,0.312404,32.5,4,S14
-65.0,-2.0,-2.0,-18.28,0.155047,32.89,4,S4
-21.0,-11.0,-60.0,17.58,0.125626,32.99,1,S4
58.0,22.0,16.0,-0.4,0.351352,33.71,4,S2
-56.0,7.0,32.0,13.08,0.316242,31.73,4,S14
-18.0,62.0,9.0,136.89,2.108713,32.23,2,S4
-20.0,-6.0,-61.0,-13.21,0.120509,33.07,1,S4
-54.0,0.0,38.0,-15.18,1.166376,32.89,1,S3
-30.0,-9.0,-57.0,-17.13,0.124346,33.11,1,S4
-64.0,-5.0,12.0,27.09,0.280422,32.27,1,S14
59.0,0.0,-18.0,42.38,0.184779,34.16,3,S2
16.0,-60.0,14.0,-15.01,0.903674,33.43,2,S2
-66.0,0.0,8.0,7.66,0.185747,31.47,4,S4
-45.0,45.0,11.0,1.66,0.339799,30.93,4,S3
60.0,0.0,-19.0,14.48,0.168121,34.15,3,S2
-19.0,60.0,12.0,-0.59,0.320079,31.99,3,S14
-65.0,-2.0,-3.0,19.61,0.153767,32.93,4,S4
-5.0,81.0,62.0,0.07,2.526788,32.59,2,S4
57.0,22.0,17.0,4.22,0.337257,33.73,4,S2
-56.0,8.0,32.0,-12.84,0.313683,31.73,4,S14
-61.0,-19.0,-15.0,-9.8,0.813932,33.34,1,S3
-65.0,-1.0,7.0,-2.45,0.281702,32.25,1,S14
-64.0,13.0,-5.0,10.07,0.460237,30.55,4,S3
-23.0,61.0,10.0,23.83,2.762156,32.61,2,S4
-56.0,-31.0,9.0,-16.53,1.675233,32.84,1,S3
-28.0,57.0,9.0,-4.87,1.754671,31.91,2,S3
-45.0,-44.0,-15.0,-20.97,0.289377,32.15,1,S14
38.0,-56.0,14.0,27.96,0.585835,33.89,2,S2
54.0,24.0,22.0,-4.55,0.155308,35.89,1,S2
-19.0,60.0,12.0,-10.25,0.317521,31.99,3,S14
14.0,-59.0,14.0,-7.55,1.018994,33.45,2,S2
-44.0,18.0,43.0,29.27,0.172955,32.75,3,S4
-21.0,-11.0,-60.0,44.64,0.126905,33.0,1,S4
-54.0,4.0,36.0,-19.49,0.314962,32.57,4,S14
-56.0,8.0,31.0,10.87,0.313683,31.75,4,S14
-53.0,5.0,36.0,3.25,0.321359,32.39,4,S14
-66.0,-2.0,-2.0,23.25,0.156326,32.91,4,S4
